"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"2830","metal",10,"metal","stainless_steel","steel","gaseous","metallic","insulation","gases","leather","collision","evaporative_cooling"
"2831","phytopathology",10,"phytopathology","poultry_science","fleischwirtschaft","phytopathologische_zeitschrift","virological_methods","american_journal","general_virology","acta_horticulturae","toxicological_sciences","plant_disease_reporter"
"2832","sugar_beet_root_sugar",7,"sugar_beet_root_sugar","cane_chicory_roots","sugar_plants","vegetables_cereals_cereals","cane_chicory_roots_others","beet_root_potatoes","beet_root_potatoes_potatoes","","",""
"2833","fenamidone",10,"fenamidone","picoxystrobin","mepanipyrim","prothioconazole","difenoconazole","pendimethalin","diquat","prosulfocarb","proquinazid","fenpyrazamine"
"2834","nicotinic_acid",10,"nicotinic_acid","nicotinamide","phosphate","vitamers","free_nicotinic_acid","tryptophan","vitamin_b12","deoxyadenosyl","inositol","methionine"
"2835","fl_no_09",10,"fl_no_09","flno_09","fl_no_09_693","09_858","flno_07","hexanoate_09","fl_no_09_656","prenyl_benzoate","flno_02","myrtenyl_acetate"
"2836","melon",10,"melon","watermelon","onion","pumpkin","muskmelon","artichoke","escarole","carrot","garlic","cantaloupes"
"2837","this_scientific_output",10,"this_scientific_output","alexandra_tard","stavroula_tasiopoulou","preparatory_work","fulvio_barizzone","efsa_staff_davide","staff_member","tomasz_oszako","efsa_staff_anja","hearing_expert"
"2838","directive_91_414",4,"directive_91_414","annex_iii_part","annex_ii_part","pre_registration_data","","","","","",""
"2839","quite",10,"quite","rather","much_more","relatively","very","fairly","very_high","highly","extremely","extreme"
"2840","abamectin",10,"abamectin","phenmedipham","boscalid","metalaxyl_m","prothioconazole","acetamiprid","proquinazid","metalaxyl","pendimethalin","mepanipyrim"
"2841","hansen",10,"hansen","jones","johnson","taylor","harrison","smith","van_der","williams","martin","clarke"
"2842","estimated_intakes",10,"estimated_intakes","3700_microgram_person_day","ranged_from_1600","flavouring_substances_assigned","candidate_substances_assigned","approximately_24000_microgram_capita","mtamdi_range","3900_µg_person","400_microgram_person","380_microgram_person"
"2843","british_journal",10,"british_journal","annual_review","general_virology","phytopathology","journal","economic_entomology","pakistan_journal","virological_methods","american_journal","dental_research"
"2844","naturally",10,"naturally","drop_off","transmitted_horizontally","remain_attached","protected_against","viraemic_host","alevins","rotten_fruits","o_connell_2002","hemocoel"
"2845","eu_register",5,"eu_register","recyc071","recyc066","recyc029","recyc053","","","","",""
"2846","volatile",10,"volatile","lipophilic","unreacted","efficiently_removed","reacts_with","poorly_soluble","non_volatile","reaction_products","chlorohydrins","hydrophilic"
"2847","peel",6,"peel","pulp","orange","peel_pulp","whole_fruit","peels","","","",""
"2848","aquatic_plants",10,"aquatic_plants","aquatic_invertebrates","algae","sediment_dwelling_organisms","aquatic_macrophytes","fish_daphnia","fish_aquatic_invertebrates","lemna","lemna_gibba","daphnids"
"2849","capture",10,"capture","cannot_escape","restraining","kill_them","carcass_dressing","escape","blows","sealers","cause_injury","shackle"
"2850","cultivars",10,"cultivars","rootstocks","olive","cultivar","are_widely_grown","poinsettia","rootstock","races","sour_orange","v_vinifera"
"2851","requests",5,"requests","annex_iiaii_organisms","efsa_ares_2012","880155_could_be","commission_services","","","","",""
"2852","international_organisation",10,"international_organisation","standardisation_international_union","international_estimated_daily","international_estimated_short","mass_spectrometry_hazard_quotient","hazard_quotient_international","inter_laboratory_validation","high_pressure_liquid_chromatography","term_intake","mass_spectrometry_high_pressure"
"2853","applied_chemistry",4,"applied_chemistry","international_union","iupac_international_union","applied_chemistry_joint_fao","","","","","",""
"2854","seroprevalence",10,"seroprevalence","schmallenberg_virus","sppv","sbv","wild_boar","peste_des_petits_ruminants","btv","seroconversion","serological_survey","seropositivity"
"2855","document_reference_sanco",10,"document_reference_sanco","4802_2001_rev","focus_working_group","surface_water_scenarios","10422_2005_v2","604_pp","10553_2006_rev","10058_2005_version","321_2000","434_pp"
"2856","chromium_iii",8,"chromium_iii","nicotinate","trivalent_chromium","chromiumenriched","chromium_enriched_yeast","picolinate","inorganic_chromium","51cr","",""
"2857","liver_weight",10,"liver_weight","kidney_weight","spleen_weight","increased_relative","kidney_weights","relative_liver","increased_adrenal","centrilobular_hepatocyte_hypertrophy","spleen_weights","haematological_changes"
"2858","cocoa",10,"cocoa","chocolate_products","dried_fruit","savoury_snacks","confectionery","cocoa_beans","chocolate","coffee_tea","dried_fruits","confectionary"
"2859","guide",10,"guide","tool","integrate","decision_makers","prioritize","seeks","delphi","communicate","epidemiologists","common_understanding"
"2860","class_ii_b3_intake",10,"class_ii_b3_intake","noael_exists_class_ii","class_iii_b3_intake","class_i_b3_intake","b4_adequate_noael_exists","adequate_noael_class_ii","below_threshold_b4_adequate","b3_intake_below_threshold","noael_exists_class_i","noael_exists_class_iii"
"2861","schemes",9,"schemes","policies","possibilities","nttp_risk_assessment","rigorously","harmonize","strict","approaches","btb_eradication",""
"2862","antibody",10,"antibody","antibodies","elisa","specific_antibodies","antigen","competitive_elisa","elisas","antibodies_against","pcr","monoclonal_antibody_based"
"2863","solipeds",10,"solipeds","domestic_solipeds_originating_from","sheep_goats","farmed_reindeer","human_pathogenic_mycobacteria","soliped","domestic_solipeds","farmed_deer","farmed_wild_boar","farmed_game"
"2864","commission_decision_1999_217",6,"commission_decision_1999_217","ec_ec_1999a","2006_amending_decision","its_consecutive_amendments","commission_decision","amending_commission_decision","","","",""
"2865","nervous_system",10,"nervous_system","dysfunction","impairment","neuronal","renal","cholinergic","follicular_cells","haematopoiesis","hypothalamic_pituitary_thyroid_axis","central_nervous_system"
"2866","post_harvest",8,"post_harvest","pre_harvest","postharvest","minimal_processing","harvesting","drenching","harvesters_food_handlers","incorporation_into_soil","",""
"2867","conclusion_regarding",10,"conclusion_regarding","active_substance_fenpyroximate","active_substance_aureobasidium_pullulans","active_substance_picolinafen","active_substance_valifenalate","active_substance_ipconazole","active_substance_spirodiclofen","active_substance_pyroxsulam","active_substance_esfenvalerate","active_substance_florasulam"
"2868","production_strain",8,"production_strain","its_recombinant_dna","recommendations_conclusions_neither","e_coli_cgmcc_3705","different_genetic_elements","aspergillus_niger_nph54","11355","e_coli_ferm_bp","",""
"2869","life_stage",4,"life_stage","life_stages","dispersal_ability","measurement_endpoints","","","","","",""
"2870","destruction",6,"destruction","burning","secondary_infections","removal","cuticle","dead_branches","","","",""
"2871","confirmatory_method",10,"confirmatory_method","an_ilv","ilv","fully_validated","confirmatory_method_fully_validated","its_ilv","fully_validated_analytical_method","validated_analytical_method","acidic_commodities","parent_bifenox"
"2872","fluoxastrobin",10,"fluoxastrobin","phenmedipham","pethoxamid","boscalid","oxadiargyl","mepanipyrim","picoxystrobin","prothioconazole","desmedipham","fenamidone"
"2873","iarc",4,"iarc","iarc_1990","us_ntp","atsdr","","","","","",""
"2874","ta1535_ta1537_ta1538",10,"ta1535_ta1537_ta1538","ta1535_ta1537_s_typhimurium","s_typhimurium_ta97_ta98","ta98_ta100_ta1535_ta1537","s_typhimurium_ta98_ta100","s_typhimurium_ta92_ta98","ta1535_ta1537","ta100_ta1535_ta1537_ta1538","s_cerevisiae_d7tsl","ta1538_s_typhimurium"
"2875","properly",10,"properly","fully","properly_trained","irreversibly_unconscious","always","correctly","free_bullets","proper_placement","stunning_box","percussive_killing"
"2876","δ9_thc",7,"δ9_thc","11_oh_δ9","thc","cannabinoids","cbd","δ9thc","cannabinoid","","",""
"2877","elicitation",10,"elicitation","delphi","steering_group","elicitation_process","eke","elicitor","sheffield_method","elicitation_protocol","elicitation_exercise","hypothetical_example"
"2878","moreno",10,"moreno","jenner_et_al","levenstein","hoffman_laroche_inc_1967a","hoffman_laroche_inc_1967b","1964_moreno","moreno_om","1974g_moreno","pellmont","1976y"
"2879","penthiopyrad",10,"penthiopyrad","tolfenpyrad","fluopyram","mcpa","fenpyroximate","dinotefuran","dicloran","dichlobenil","proquinazid_pyridate","dicamba"
"2880","functional_group",10,"functional_group","cdg","cdg15","chemically_defined_flavourings","nutritional_additives_functional","functional_groups","cdg02","including_aliphatic_lactones","their_salts","cdg06"
"2881","emission",5,"emission","emissions","emitted","vapour","gas_phase","","","","",""
"2882","endosulfan",10,"endosulfan","chlorobenzilate","pyrimiphos_methyl","acetamipride","epn","triazophos","ethion","bifenthrine","ethion_diethion","monocrotophos"
"2883","breeds",10,"breeds","rustic","breed","intensive_systems","farms","sheep_breeds","semi_extensive_systems","suckler_cow","dairy_breeds","production_traits"
"2884","hospital",10,"hospital","hospitalised","waterborne_outbreak","fatal_cases","human_cases","fell_ill","catering_company","holiday","cafes","most_common_settings"
"2885","saturated",10,"saturated","secondary_alcohols","esters","alcohols","carboxylic_acids","acids","linear","unsaturated_aliphatic_secondary_alcohols","branched_chain_alcohols","aliphatic_lactones_included"
"2886","continue",10,"continue","keep","continues","happen","remember","cease","appropriately_implemented","will_continue","take","imperative"
"2887","themselves",10,"themselves","entanglement","unwilling","sometimes","require","experiencing_pain","defenceless","beautiful","perceive","do_not"
"2888","ecosystem_services",10,"ecosystem_services","biodiversity","biodiversity_components","food_web_support","ecosystem_service","ecological_functions","key_drivers","nta_species","ecological_entity","key_driver"
"2889","intake_concerns_were",4,"intake_concerns_were","european_diets_incorporated","long_term_consumer","longterm_consumer","","","","","",""
"2890","yellow",8,"yellow","red","brownish","blue","dark_brown","reddish_brown","reddish","pink","",""
"2891","offal",10,"offal","offals","pork_meat","meat","hen_eggs","edible_offal","venison","goat_meat","meat_products","pâté"
"2892","an_uncertainty_factor",8,"an_uncertainty_factor","uf","safety_factor","standard_uf","standard_uncertainty_factor","additional_uncertainty_factor","default_uncertainty_factor","uncertainty_factor_uf","",""
"2893","keep",10,"keep","maintain","find","avoid_overheating","continue","avoid","good_ventilation","get","minimise","help"
"2894","ahaw_panel",10,"ahaw_panel","biohaz_panel","welfare_ahaw_panel","welfare_ahaw_2012b","biohaz","ahaw_scientific","welfare_ahaw","biological_hazards","scientific_report","2013_3486"
"2895","horse",4,"horse","pork_meat","cow","duck","","","","","",""
"2896","spring_onions",10,"spring_onions","globe_artichokes","jerusalem_artichokes","lamb_s_lettuce","brussels_sprouts","apricots_peaches","cress","shallots","chinese_cabbage","kohlrabi"
"2897","wheat_wheat_wheat_wheat",10,"wheat_wheat_wheat_wheat","wheat_rye_wheat_wheat","wheat_wheat_wheat","apples_wheat_wheat","wheat_wheat","rye_wheat_wheat","wheat_apples","wheat_wheat_potatoes","wheat_wheat_apples","wheat_wheat_rye"
"2898","hand",10,"hand","picking","hands","aircraft","openings","clothing","clothes","sideways","underneath","overhead"
"2899","plots",10,"plots","plot","comparable_refugia_area","rows","fields","maintained_bare","quadrats","treated_plots","unsprayed","replications"
"2900","hyperplasia",10,"hyperplasia","atrophy","fibrosis","hypertrophy","epididymis","degeneration","vacuolisation","forestomach","urinary_bladder","bile_duct_hyperplasia"
"2901","consume",4,"consume","consuming","people_who","consumed","","","","","",""
"2902","herbal_infusions",10,"herbal_infusions","rhizome_spices_sugar_beet","chicory_roots","herbal_infusions_leaves","swedes_turnips_garlic_onions","beetroots_celeriacs_radishes","horseradish_spices","salsify_roots","globe_artichokes","herbal_infusions_roots"
"2903","efforts",10,"efforts","effort","implement","timely","adapt","invite","bp_css","inform","help","reinforce"
"2904","escape",10,"escape","escaping","long_distances","severely_ill","turbulent","move","move_freely","entanglement","being_transported","evade"
"2905","chance",10,"chance","you_judge","true","realise_that","an_unbiased_estimate","truly","aquacultured_vs","propagule_pressure","explaining_how","equally_likely"
"2906","non_compliant",6,"non_compliant","noncompliant","legal_limits","measurement_uncertainty_taken_into","measurement_uncertainty","legal_violations","","","",""
"2907","water_solubility",4,"water_solubility","vapour_pressure","pka","molar_mass","","","","","",""
"2908","testes",10,"testes","thymus","epididymis","ovaries","testis","spleen","adrenal_glands","adrenals","histological_changes","ovary"
"2909","densities",9,"densities","density","population_densities","summer_temperatures","vector_densities","home_ranges","population_density","climates","mortality_rates",""
"2910","viral",10,"viral","goatpox","tissue_tropism","host_immune_response","dsrna","sheeppox","reassortment","classical_swine_fever_virus","vaccine_induced","zaire_ebolavirus"
